QMUXTXRX.
Cur Time : 87.091000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	STRING
12.840054	SHIMQMI 02 04 0e 2d 00 07 00 02 04 00 00 00 00 00
12.840890	SHIMQMI 00 04 0e 01 00 04 00 10 01 00 01
12.840910	SHIMQMI 02 04 0e 01 00 07 00 02 04 00 00 00 00 00
12.841519	SHIMQMI 00 01 10 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.841970	SHIMQMI 02 01 10 a2 00 07 00 02 04 00 00 00 00 00
12.842384	SHIMQMI 00 01 11 a2 00 0f 00 10 08 00 04 00 00 00 01 00
12.842426	SHIMQMI 02 01 11 a2 00 07 00 02 04 00 00 00 00 00
12.842685	SHIMQMI 00 01 10 af 00 07 00 01 04 00 00 00 00 00
12.842735	SHIMQMI 02 01 10 af 00 07 00 02 04 00 00 00 00 00
12.843008	SHIMQMI 00 01 10 b0 00 00 00
12.843034	SHIMQMI 02 01 10 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.843366	SHIMQMI 00 01 11 af 00 07 00 01 04 00 00 00 00 00
12.843408	SHIMQMI 02 01 11 af 00 07 00 02 04 00 00 00 00 00
12.844105	SHIMQMI 00 01 11 b0 00 00 00
12.844131	SHIMQMI 02 01 11 b0 00 0e 00 02 04 00 00 00 00 00 10 04
12.844712	SHIMQMI 00 04 0f 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.844747	SHIMQMI 02 04 0f 2b 00 07 00 02 04 00 00 00 00 00
12.845630	SHIMQMI 00 04 0f 2a 00 04 00 01 01 00 04
12.845652	SHIMQMI 02 04 0f 2a 00 07 00 02 04 00 00 00 00 00
12.845880	SHIMQMI 00 04 0f 2f 00 08 00 10 01 00 01 11 01 00 db
12.845905	SHIMQMI 02 04 0f 2f 00 07 00 02 04 00 00 00 00 00
12.846190	SHIMQMI 00 04 0f 2d 00 07 00 01 04 00 ff 00 00 00
12.846211	SHIMQMI 02 04 0f 2d 00 07 00 02 04 00 00 00 00 00
12.846426	SHIMQMI 00 04 0f 01 00 04 00 10 01 00 01
12.846446	SHIMQMI 02 04 0f 01 00 07 00 02 04 00 00 00 00 00
12.846963	SHIMQMI 00 04 10 2b 00 0f 00 10 08 00 04 00 00 00 01 00
12.846992	SHIMQMI 02 04 10 2b 00 07 00 02 04 00 00 00 00 00
12.847425	SHIMQMI 00 04 10 2a 00 04 00 01 01 00 06
12.847453	SHIMQMI 02 04 10 2a 00 07 00 02 04 00 00 00 00 00
12.847642	SHIMQMI 00 04 10 2f 00 08 00 10 01 00 01 11 01 00 db
12.847670	SHIMQMI 02 04 10 2f 00 07 00 02 04 00 00 00 00 00
12.847836	SHIMQMI 00 04 10 2d 00 07 00 01 04 00 ff 00 00 00
12.847857	SHIMQMI 02 04 10 2d 00 07 00 02 04 00 00 00 00 00
12.848032	SHIMQMI 00 04 10 01 00 04 00 10 01 00 01
12.848053	SHIMQMI 02 04 10 01 00 07 00 02 04 00 00 00 00 00
12.848574	SHIMQMI 00 1a 01 20 00 47 00 11 04 00 02 00 00 00 12 04
12.848731	SHIMQMI 02 1a 01 20 00 4e 00 02 04 00 00 00 00 00 10 01
12.861468	SHIMQMI 00 1a 01 21 00 0b 00 10 08 00 04 00 00 00 01 00
12.861506	SHIMQMI 02 1a 01 21 00 4e 00 02 04 00 00 00 00 00 10 01
13.496162	SHIMQMI 00 09 01 03 00 08 00 11 01 00 01 15 01 00 01
13.496319	SHIMQMI 02 09 01 03 00 07 00 02 04 00 00 00 00 00
13.496755	SHIMQMI 00 03 01 02 00 04 00 12 01 00 01
13.496958	SHIMQMI 02 03 01 02 00 07 00 02 04 00 00 00 00 00
13.497268	SHIMQMI 00 03 01 4d 00 00 00
13.497603	SHIMQMI 02 03 01 4d 00 2d 00 02 04 00 00 00 00 00 12 03
13.501898	SHIMQMI 00 03 01 03 00 4d 00 10 01 00 01 13 01 00 00 14
13.501968	SHIMQMI 02 03 01 03 00 07 00 02 04 00 00 00 00 00
13.502442	SHIMQMI 00 03 01 70 00 0b 00 01 08 00 00 00 00 00 00 00
13.502730	SHIMQMI 02 03 01 70 00 07 00 02 04 00 00 00 00 00
13.503091	SHIMQMI 00 03 01 ac 00 00 00
13.503357	SHIMQMI 02 03 01 ac 00 07 00 02 04 00 01 00 4a 00
13.503614	SHIMQMI 00 03 01 34 00 00 00
13.504006	SHIMQMI 02 03 01 34 00 8f 00 02 04 00 00 00 00 00 10 01
13.504320	SHIMQMI 00 03 01 6b 00 00 00
13.504401	SHIMQMI 02 03 01 6b 00 0b 00 02 04 00 00 00 00 00 10 01
13.504626	SHIMQMI 00 03 01 4d 00 00 00
13.504676	SHIMQMI 02 03 01 4d 00 2d 00 02 04 00 00 00 00 00 12 03
13.505753	SHIMQMI 00 05 01 47 00 08 00 10 01 00 01 13 01 00 01
13.505942	SHIMQMI 02 05 01 47 00 07 00 02 04 00 00 00 00 00
13.506233	SHIMQMI 00 05 01 45 00 04 00 01 01 00 01
13.506447	SHIMQMI 02 05 01 45 00 07 00 02 04 00 01 00 2f 00
13.506713	SHIMQMI 00 01 01 6b 00 00 00
13.506821	SHIMQMI 02 01 01 6b 00 1e 00 02 04 00 00 00 00 00 10 14
13.507072	SHIMQMI 00 01 01 01 00 08 00 17 01 00 01 1a 01 00 01
13.507126	SHIMQMI 02 01 01 01 00 07 00 02 04 00 00 00 00 00
13.510419	SHIMQMI 00 0b 01 2e 00 07 00 01 04 00 2b 00 00 00
13.511148	SHIMQMI 02 0b 01 2e 00 0e 00 02 04 00 00 00 00 00 10 04
13.511751	SHIMQMI 00 0c 01 01 00 07 00 01 04 00 0f 00 00 00
13.511787	SHIMQMI 02 0c 01 01 00 0e 00 02 04 00 00 00 00 00 10 04
13.512593	SHIMQMI 00 09 02 03 00 04 00 16 01 00 01
13.512654	SHIMQMI 02 09 02 03 00 07 00 02 04 00 00 00 00 00
13.512686	SHIMQMI 04 0c 01 0c 00 68 00 15 0b 00 0a 00 00 00 00 00
13.513500	SHIMQMI 00 0a 01 01 00 12 00 10 04 00 ff f7 7f 01 12 01
13.514067	SHIMQMI 02 0a 01 01 00 07 00 02 04 00 00 00 00 00
