MCFG.
Cur Time : 4211.111000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	LINE	STRING
11.650959	mcfg_utils.c	2922	uncompress_wrapper(): first 2 bytes of source (compressed), 0x78, 0x9c 
11.651293	mcfg_utils.c	2938	uncompress_wrapper(): first 2 bytes of dest (uncompresses), 0x7f, 0x45 
11.651294	mcfg_utils.c	2970	mcfg_utils_check_config_header(): first 2 bytes of config, 0x7f, 0x45
11.651295	mcfg_utils.c	3073	check_and_update_config: comp_config_len 3866, comp_status 2
11.651338	mcfg_auth.c	145	mcfg_auth_verify_hash() sig_offset 0x1000, data_offset 0x3000 size 2372
11.651555	mcfg_auth.c	215	mcfg_auth_verify_hash() hash matches!!
11.661428	mcfg_auth.c	317	mcfg_auth_img_verify() is Successful!!
11.661434	mcfg_auth.c	145	mcfg_auth_verify_hash() sig_offset 0x1000, data_offset 0x3000 size 2372
11.661577	mcfg_auth.c	215	mcfg_auth_verify_hash() hash matches!!
11.671438	mcfg_auth.c	317	mcfg_auth_img_verify() is Successful!!
11.671439	mcfg_load.c	406	modem_cfg_load_and_auth_mcfg - 4, 0
11.671440	mcfg_load.c	417	modem_cfg_load_and_auth_mcfg 5 - err 0
11.671480	mcfg_utils.c	2530	mcfg_format_ver_num is : 0x4 
11.671481	mcfg_utils.c	2535	====  isMbnWithDigest returned true ==== 
11.671483	mcfg_proc.c	407	mcfg_digest_available  = 1
11.671487	mcfg_proc.c	1060	mcfg_malloc, mcfg_heap_blocks 1
11.671489	mcfg_proc.c	1085	validate_mcfg_header mcfg_ver_compare_result=1
11.671490	mcfg_proc.c	1086	validate_mcfg_header mcfg_hdr->mcfg_muxd_carrier_index_info=8
11.671538	mcfg_proc.c	3386	mcfg_compare_w_muxd_version subs_id=0 carrier_index=8
11.671546	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.671583	mcfg_nv.c	601	mcfg_nv_read status 0
11.671585	mcfg_proc.c	3393	mcfg_compare_w_muxd_version nv_read_status=0
11.671586	mcfg_proc.c	3396	mcfg_compare_w_muxd_version mcfg_version=8010808
11.671587	mcfg_proc.c	3397	mcfg_compare_w_muxd_version local_mcfg_info=8010808
11.671588	mcfg_proc.c	1096	validate_mcfg_header mcfg_ver_compare_result=0
11.671592	mcfg_proc.c	1124	mcfg_free, mcfg_heap_blocks 0
11.671595	mcfg_proc.c	1444	mcfg_malloc, mcfg_heap_blocks 1
11.671597	mcfg_proc.c	1469	mcfg_free, mcfg_heap_blocks 0
11.671641	mcfg_proc.c	3814	MCFG SW- carrier major version = 0x8 sys_type= 0x1
11.671642	mcfg_proc.c	1572	inside mcfg_update_required_based_on_digest ..cfg_type is...(1)
11.671644	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.671680	mcfg_nv.c	601	mcfg_nv_read status 0
11.671682	mcfg_proc.c	1591	prev_mcfg_digest_version read success  for cfg_type : (1)!
11.671877	mcfg_proc.c	1627	prev and curr mcfg digest version is same for cfg_type : (1)!
11.671881	mcfg_utils.c	1477	set_active_config 00c079
11.672058	mcfg_utils.c	917	Config: ROW
11.672058	mcfg_utils.c	921	Config ROW
11.672061	mcfg_map.c	149	mcfg_map_is_config_id_unique:ID found
11.672319	mcfg_utils.c	616	mcfg_free, mcfg_heap_blocks 1
11.672321	mcfg_utils.c	621	mcfg_free, mcfg_heap_blocks 0
11.672322	mcfg_proc.c	342	====  Starting modem_cfg_process_single 1 ==== 
11.672323	mcfg_proc.c	343	refresh_type 2 
11.672325	mcfg_default.c	560	==== mcfg_default_config_process for type 1 ==== 
11.672327	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.672356	mcfg_nv.c	601	mcfg_nv_read status 5
11.672357	mcfg_default.c	113	default enabled nv for 1 is not available
11.672359	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.672381	mcfg_nv.c	601	mcfg_nv_read status 5
11.672382	mcfg_default.c	113	default enabled nv for 1 is not available
11.672391	mcfg_utils.c	2136	mcfg_utils_get_default_config: type 1 size 2156
11.672392	mcfg_utils.c	2530	mcfg_format_ver_num is : 0x4 
11.672393	mcfg_utils.c	2535	====  isMbnWithDigest returned true ==== 
11.672394	mcfg_default.c	587	default_config_digest_available  = 1
11.672396	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.672420	mcfg_nv.c	601	mcfg_nv_read status 5
11.672421	mcfg_default.c	113	default enabled nv for 1 is not available
