Start : 2843207, 86.767812sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 1261095912
Time Awake : 95458592
Sleep : 92.963158% Awake : 7.036842%
Log available 16 ~ 86sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
00000489092568	00025.473571	S	0.000055
00000489093616	00025.473626	W	0.000020
00000489093996	00025.473646	S	0.000073
00000489095400	00025.473719	W	0.000092
00000489097172	00025.473811	S	0.303235
00000494919288	00025.777046	W	0.000690
00000494932532	00025.777736	S	0.000066
00000494933796	00025.777802	W	0.000039
00000494934552	00025.777841	S	0.000050
00000494935512	00025.777891	W	0.000037
00000494936232	00025.777929	S	0.000051
00000494937204	00025.777979	W	0.000038
00000494937940	00025.778018	S	0.000056
00000494939012	00025.778074	W	0.000020
00000494939392	00025.778093	S	0.000073
00000494940796	00025.778166	W	0.000091
00000494942544	00025.778257	S	0.624781
00000506938344	00026.403039	W	0.005924
00000507052088	00026.408963	S	0.002376
00000507097704	00026.411339	W	0.039864
00000507863092	00026.451203	S	0.527818
00000517997200	00026.979021	W	0.001015
00000518016696	00026.980036	S	0.000052
00000518017688	00026.980088	W	0.000059
00000518018824	00026.980147	S	0.000047
00000518019724	00026.980194	W	0.000067
00000518021016	00026.980261	S	0.000065
00000518022272	00026.980327	W	0.000020
00000518022652	00026.980346	S	0.000066
00000518023920	00026.980412	W	0.000095
00000518025744	00026.980508	S	0.064862
00000519271088	00027.045369	W	0.007220
00000519409712	00027.052589	S	0.047231
00000520316556	00027.099821	W	0.007068
00000520452256	00027.106888	S	0.227431
00000524818940	00027.334320	W	0.000990
00000524837940	00027.335309	S	0.348768
00000531534276	00027.684077	W	0.001852
00000531569844	00027.685929	S	0.005408
00000531673672	00027.691337	W	0.039878
00000532439328	00027.731215	S	1.234372
00000556139276	00028.965587	W	0.001985
00000556177384	00028.967572	S	0.005769
00000556288144	00028.973341	W	0.044905
00000557150312	00029.018245	S	1.227331
00000580715076	00030.245577	W	0.052737
00000581727628	00030.298314	S	1.227263
00000605291080	00031.525577	W	0.001808
00000605325788	00031.527385	S	0.001109
00000605347080	00031.528494	W	0.000206
00000605351040	00031.528700	S	0.000112
00000605353196	00031.528812	W	0.000020
00000605353584	00031.528833	S	0.004502
00000605440020	00031.533334	W	0.044857
00000606301272	00031.578191	S	0.414010
00000614250260	00031.992201	W	0.002720
00000614302476	00031.994921	S	0.121581
00000616636836	00032.116502	W	0.000732
00000616650900	00032.117234	S	0.000084
00000616652516	00032.117319	W	0.000048
00000616653436	00032.117366	S	0.000048
00000616654352	00032.117414	W	0.000041
00000616655132	00032.117455	S	0.000046
00000616656024	00032.117501	W	0.000021
00000616656424	00032.117522	S	0.000065
00000616657676	00032.117587	W	0.000095
00000616659492	00032.117682	S	0.002626
00000616709916	00032.120308	W	0.000892
00000616727036	00032.121200	S	0.000086
00000616728692	00032.121286	W	0.000039
00000616729432	00032.121325	S	0.000047
00000616730332	00032.121371	W	0.000038
